player_id,name,position,dob,age,height
336722,Alan PULIDO,Forward,08.03.1991,23,176
368902,Adam TAGGART,Forward,02.06.1993,21,172
362641,Reza GHOOCHANNEJAD,Forward,20.09.1987,26,181
314197,NEYMAR,Forward,05.02.1992,22,175
212306,Didier DROGBA,Forward,11.03.1978,36,180
229884,David VILLA,Forward,03.12.1981,32,175
305372,Abel HERNANDEZ,Forward,08.08.1990,23,186
228599,Javier HERNANDEZ,Forward,01.06.1988,26,175
300409,Edin DZEKO,Forward,17.03.1986,28,192
184615,Klaas Jan HUNTELAAR,Forward,12.08.1983,30,187
271550,Gonzalo HIGUAIN,Forward,10.12.1987,26,184
227851,Oribe PERALTA,Forward,12.01.1984,30,177
354859,Islam SLIMANI,Forward,18.06.1988,26,188
182206,Miroslav KLOSE,Forward,09.06.1978,36,182
217315,Robin VAN PERSIE,Forward,06.08.1983,30,186
286278,Shinji OKAZAKI,Forward,16.04.1986,28,174
270775,Luis SUAREZ,Forward,24.01.1987,27,181
233952,FRED,Forward,03.10.1983,30,186
312316,Eric CHOUPO MOTING,Forward,23.03.1989,25,190
356411,Fabian SCHAER,Defender,20.12.1991,22,186
338673,Uche NWOFOR,Forward,17.09.1991,22,177
373224,Rickie LAMBERT,Forward,16.02.1982,32,188
379894,Miiko ALBORNOZ,Defender,30.11.1990,23,180
208353,Asamoah GYAN,Forward,22.11.1985,28,186
296994,El Arabi SOUDANI,Forward,25.11.1987,26,177
339508,Chris WONDOLOWSKI,Forward,28.01.1983,31,182
213001,Tim CAHILL,Forward,06.12.1979,34,180
214384,EDUARDO_1,Forward,25.02.1983,31,177
170667,Samuel ETOO,Forward,10.03.1981,33,181
271414,Carlo COSTLY,Forward,18.07.1982,31,190
275096,Yoichiro KAKITANI,Forward,03.01.1990,24,177
270301,Eduardo VARGAS,Forward,20.11.1989,24,175
201200,CRISTIANO RONALDO,Forward,05.02.1985,29,185
323623,Jerry BENGTSON,Forward,08.04.1987,27,187
229397,Lionel MESSI,Forward,24.06.1987,26,169
235097,Mubarak WAKASO,Midfielder,25.07.1990,23,171
356399,Josip DRMIC,Forward,08.08.1992,21,182
196842,Wayne ROONEY,Forward,24.10.1985,28,176
