player_id,country_id,caps,intl_goals,jersey_num
336722,31,5,4,11
368902,3,4,3,9
362641,25,13,9,16
314197,7,48,31,10
212306,28,100,61,11
229884,43,95,56,7
305372,51,12,7,8
228599,31,61,35,14
300409,6,62,35,11
184615,32,61,34,19
271550,2,36,20,9
227851,31,27,15,19
354859,1,19,10,13
182206,20,131,68,11
217315,32,84,43,9
286278,29,75,38,9
270775,51,77,39,9
233952,7,32,16,9
312316,9,26,13,13
356411,45,6,3,22
338673,33,6,3,19
373224,18,4,2,18
379894,11,2,1,3
208353,21,77,38,3
296994,1,21,10,15
339508,48,19,9,18
213001,3,68,32,4
214384,15,62,29,22
170667,9,117,54,9
271414,23,68,31,13
275096,29,11,5,11
270301,11,29,13,11
201200,36,110,49,7
323623,23,43,19,11
229397,2,84,37,10
235097,21,16,7,22
356399,45,7,3,19
196842,18,90,38,10
228528,2,50,21,20
309716,13,29,12,9
301059,27,29,12,9
364763,33,22,9,9
196789,20,113,46,10
187203,36,67,27,23
367261,1,5,2,9
207761,42,62,24,10
306548,20,32,12,9
275136,29,8,3,18
300411,6,55,20,9
233500,29,55,20,4
274034,18,22,8,11
306532,18,11,4,9
319470,45,11,4,17
318601,43,39,14,11
319311,31,14,5,8
321722,20,48,17,13
214135,9,54,19,15
352394,20,20,7,21
207851,48,103,36,8
353118,28,23,8,12
230517,22,71,24,17
183864,43,107,36,9
216970,28,66,22,8
228627,11,66,22,7
291393,42,36,12,13
298681,32,21,7,17
229506,51,9,3,11
373400,17,9,3,13
186455,33,6,2,23
218306,7,6,2,19
358891,38,6,2,17
306900,33,3,1,20
336435,19,3,1,11
189259,51,109,36,10
267834,51,61,20,21
268596,29,56,18,10
214410,36,54,17,9
305036,20,54,17,8
186808,38,80,25,11
217172,7,16,5,21
358112,5,29,9,9
216071,6,81,25,10
196812,25,13,4,21
228715,17,49,15,11
270144,14,23,7,21
349572,17,30,9,17
312868,7,30,9,11
349512,13,10,3,17
366573,1,10,3,19
184616,32,74,22,11
313832,13,27,8,21
330689,42,27,8,19
238072,48,68,20,17
313874,11,34,10,22
297383,38,41,12,15
297103,19,65,19,10
297839,28,24,7,13
268149,42,63,18,11
274090,33,21,6,11
184291,2,53,15,11
185385,18,103,29,8
307529,14,32,9,9
177927,27,36,10,10
319358,1,18,5,10
267811,43,33,9,13
321653,45,33,9,23
